Year,Recipient,Field,State
1954,"Bose, Satyendra NathSatyendra Nath Bose",Literature & Education,West Bengal
1954,"Bose, NandalalNandalal Bose",Arts,West Bengal
1954,"Husain, ZakirZakir Husain",Public Affairs,Telangana
1954,"Kher, Balasaheb GangadharBalasaheb Gangadhar Kher",Public Affairs,Maharashtra
1954,"Menon, V. K. KrishnaV. K. Krishna Menon",Public Affairs,Kerala
1954,"Wangchuck, Jigme DorjiJigme Dorji Wangchuck",Public Affairs,– [A]
1955,"Karve, Dhondo KeshavDhondo Keshav Karve",Literature & Education,Maharashtra
1955,"Tata, J. R. D.J. R. D. Tata",Trade & Industry,Maharashtra
1956,"Ali, FazalFazal Ali",Public Affairs,Bihar
1956,"Bajaj, JankibaiJankibai Bajaj",Social Work,Madhya Pradesh
1956,"Trivedi, Chandulal MadhavlalChandulal Madhavlal Trivedi",Public Affairs,Madhya Pradesh
1957,"Birla, Ghanshyam DasGhanshyam Das Birla",Trade & Industry,Rajashtan
1957,"Prakasa, SriSri Prakasa",Public Affairs,Andhra Pradesh
1957,"Setalvad, M. C.M. C. Setalvad",Public Affairs,Maharashtra
1959,"Mathai, JohnJohn Mathai",Literature & Education,Kerala
1959,"Mehta, Gaganvihari LallubhaiGaganvihari Lallubhai Mehta",Social Work,Maharashtra
1959,"Pal, RadhabinodRadhabinod Pal",Public Affairs,West Bengal
1960,"Pillai, Naryana RaghvanNaryana Raghvan Pillai",Public Affairs,Tamil Nadu
1962,"Iyengar, H. V. R.H. V. R. Iyengar",Civil Service,Tamil Nadu
1962,"Naidu, PadmajaPadmaja Naidu",Public Affairs,Telangana
1962,"Pandit, Vijaya LakshmiVijaya Lakshmi Pandit",Civil Service,Uttar Pradesh
1963,"Chatterji, Suniti KumarSuniti Kumar Chatterji",Literature & Education,West Bengal
1963,"Mudaliar, A. LakshmanaswamiA. Lakshmanaswami Mudaliar",Medicine,Tamil Nadu
1963,"Pataskar, Hari VinayakHari Vinayak Pataskar",Public Affairs,Maharashtra
1964,"Kalelkar, Acharya KakasahebAcharya Kakasaheb Kalelkar",Literature & Education,Maharashtra
1964,"Kaviraj, GopinathGopinath Kaviraj",Literature & Education,Uttar Pradesh
1965,"Chaudhuri, Jayanto NathJayanto Nath Chaudhuri",Civil Service,West Bengal
1965,"Jung, Mehdi NawazMehdi Nawaz Jung",Public Affairs,Telangana
1965,"Singh, ArjanArjan Singh",Civil Service,Delhi
1966,"Gracias, ValerianValerian Gracias",Social Work,Maharashtra
1967,"Daphtary, Chandra KisanChandra Kisan Daphtary",Public Affairs,Maharashtra
1967,"Ibrahim, Hafiz MohamadHafiz Mohamad Ibrahim",Civil Service,Telangana
1967,"Jha, Bhola NathBhola Nath Jha",Civil Service,Uttar Pradesh
1967,"Rao, Pattadakal Venkanna RPattadakal Venkanna R Rao",Civil Service,Andhra Pradesh
1968,"Aney, Madhav ShrihariMadhav Shrihari Aney",Public Affairs,Madhya Pradesh
1968,"Chandrasekhar, SubrahmanyanSubrahmanyan Chandrasekhar",Science & Engineering,– [B]
1968,"Mahalanobis, Prasanta ChandraPrasanta Chandra Mahalanobis",Literature & Education,Delhi
1968,"Singh, KirpalKirpal Singh",Civil Service,Delhi
1968,"Sundaram, KalyanKalyan Sundaram",Public Affairs,Delhi
1969,"Dayal, RajeshwarRajeshwar Dayal",Civil Service,Delhi
1969,"Joshi, Dattatraya ShridharDattatraya Shridhar Joshi",Civil Service,Maharashtra
1969,"Khorana, Har GobindHar Gobind Khorana",Science & Engineering,– [B]
1969,"Mehta, Mohan SinhaMohan Sinha Mehta",Civil Service,Rajashtan
1969,"Pande, GhananandGhananand Pande",Civil Service,Uttar Pradesh
1970,"Chand, TaraTara Chand",Literature & Education,Uttar Pradesh
1970,"Das, SuranjanSuranjan Das",Civil Service,West Bengal
1970,"Dias, Anthony LancelotAnthony Lancelot Dias",Public Affairs,Maharashtra
1970,"Kumaramangalam, P. PrabhakarP. Prabhakar Kumaramangalam",Civil Service,Tamil Nadu
1970,"Mudaliar, A. RamasamyA. Ramasamy Mudaliar",Civil Service,Andhra Pradesh
1970,"Sen, Binay RanjanBinay Ranjan Sen",Civil Service,West Bengal
1970,"Singh, HarbakshHarbaksh Singh",Civil Service,Punjab
1971,"Chaliha, Bimala PrasadBimala Prasad Chaliha",Civil Service,Assam
1971,"Khan, AllauddinAllauddin Khan",Arts,West Bengal
1971,"Morarjee, SumatiSumati Morarjee",Civil Service,Maharashtra
1971,"Shankar, UdayUday Shankar",Arts,Maharashtra
1971,"Shirodkar, Vithal NageshVithal Nagesh Shirodkar",Medicine,Goa
1971,"Sivaraman, BalaramBalaram Sivaraman",Civil Service,Tamil Nadu
1972,"Gajendragadkar, P. BalacharyaP. Balacharya Gajendragadkar",Public Affairs,Maharashtra
1972,"Jha, Aditya NathAditya Nath Jha",Public Affairs,Uttar Pradesh
1972,"Lal, Pratap ChandraPratap Chandra Lal",Civil Service,Punjab
1972,"Manekshaw, SamSam Manekshaw",Civil Service,Tamil Nadu
1972,"Mehta, Jivraj NarayanJivraj Narayan Mehta",Public Affairs,Maharashtra
1972,"Nanda, Sardarilal MathradasSardarilal Mathradas Nanda",Civil Service,Delhi
1972,"Sadiq, Ghulam MohammedGhulam Mohammed Sadiq",Public Affairs,Jammu & Kashmir
1972,"Sarabhai, VikramVikram Sarabhai",Science & Engineering,Gujarat
1972,"Seervai, Hormasji ManeckjiHormasji Maneckji Seervai",Literature & Education,Maharashtra
1973,"Devi, BasantiBasanti Devi",Civil Service,West Bengal
1973,"Dhebar, U. N.U. N. Dhebar",Social Work,Gujarat
1973,"Kothari, Daulat SinghDaulat Singh Kothari",Science & Engineering,Delhi
1973,"Sengupta, NellieNellie Sengupta",Social Work,West Bengal
1973,"Singh, NagendraNagendra Singh",Public Affairs,Rajashtan
1973,"Swaminathan, ThirumalrayaThirumalraya Swaminathan",Civil Service,Tamil Nadu
1974,"De, NirenNiren De",Public Affairs,West Bengal
1974,"Mukherjee, Benode BehariBenode Behari Mukherjee",Arts,Uttarakhand
1974,"Rao, V. K. R. V.V. K. R. V. Rao",Civil Service,Karnataka
1974,"Sarin, Harish ChandraHarish Chandra Sarin",Civil Service,Delhi
1975,"Deshmukh, C. D.C. D. Deshmukh",Public Affairs,Telangana
1975,"Deshmukh, DurgabaiDurgabai Deshmukh",Social Work,Maharashtra
1975,"Jadhav, Mary ClubwalaMary Clubwala Jadhav",Social Work,Tamil Nadu
1975,"Nagchaudhuri, Basanti DulalBasanti Dulal Nagchaudhuri",Literature & Education,West Bengal
1975,"Ramanna, RajaRaja Ramanna",Science & Engineering,Karnataka
1975,"Sethna, Homi NusserwanjiHomi Nusserwanji Sethna",Civil Service,Maharashtra
1975,"Subbulakshmi, M. S.M. S. Subbulakshmi",Arts,Tamil Nadu
1975,"Thackersey, Premlila VithaldasPremlila Vithaldas Thackersey",Literature & Education,Maharashtra
1976,"Ali, SalimSalim Ali",Science & Engineering,Uttar Pradesh
1976,"Musafir, Giani Gurmukh SinghGiani Gurmukh Singh Musafir",Literature & Education,Punjab
1976,"Pillai, K. ShankarK. Shankar Pillai",Arts,Delhi
1976,"Ramanathan, K. R.K. R. Ramanathan",Science & Engineering,Kerala
1976,"Ray, SatyajitSatyajit Ray",Arts,West Bengal
1976,"Shrimali, Kalu LalKalu Lal Shrimali",Literature & Education,Uttar Pradesh
1976,"Zaidi, Bashir HussainBashir Hussain Zaidi",Literature & Education,Delhi
1977,"Balasaraswati, T.T. Balasaraswati",Arts,Tamil Nadu
1977,"Jung, Ali YavarAli Yavar Jung",Public Affairs,Telangana
1977,"Khosla, Ajudhia NathAjudhia Nath Khosla",Civil Service,Delhi
1977,"Mehra, Om PrakashOm Prakash Mehra",Civil Service,Punjab
1977,"Mukherjee, Ajoy KumarAjoy Kumar Mukherjee",Public Affairs,West Bengal
1977,"Singh, Chandeshwar Prasad NarayanChandeshwar Prasad Narayan Singh",Literature & Education,Delhi
1980,"Khan, BismillahBismillah Khan",Arts,Uttar Pradesh
