Recipient,Field,State,,Year
"Chaudhuri, Rabindra NathRabindra Nath Chaudhuri",West Bengal,Medicine,,1960
"Das, NilkanthaNilkantha Das",Orissa,Public Affairs,,1960
"Dravid, Raj Rajeshwardatt ShastriRaj Rajeshwardatt Shastri Dravid",Uttar Pradesh,Literature & Education,,1960
"Islam, Kazi NazrulKazi Nazrul Islam",West Bengal,Literature & Education,,1960
"Khan, Hafiz AliHafiz Ali Khan",Madhya Pradesh,Arts,,1960
"Navin, Bal KrishnaBal Krishna Navin",Delhi,Literature & Education,,1960
"Rao, Ayyadevara KaleswaraAyyadevara Kaleswara Rao",Andhra Pradesh,Public Affairs,,1960
"Sahay, Acharya ShivpujanAcharya Shivpujan Sahay",Bihar,Literature & Education,,1960
"Shirodkar, Vithal NageshVithal Nagesh Shirodkar",Maharashtra,Medicine,,1960
"Vagish, Haridas SiddhantaHaridas Siddhanta Vagish",West Bengal,Literature & Education,,1960
Recipient,Field,State,,
"Banerjee, Tridib NathTridib Nath Banerjee",Medicine,West Bengal,,1961
"Billimoria, Rustomji BomanjiRustomji Bomanji Billimoria",Medicine,Maharashtra,,1961
"Das, Seth GovindSeth Govind Das",Literature & Education,Madhya Pradesh,,1961
"Elwin, VerrierVerrier Elwin",Science & Engineering,â€“,,1961
"Gulhati, Niranjan DasNiranjan Das Gulhati",Civil Service,Delhi,,1961
"Venkatakrishnaiyer, L. AiyarL. Aiyar Venkatakrishnaiyer",Civil Service,Tamil Nadu,,1961
"Krishna, AnandAnand Krishna",Literature & Education,Uttar Pradesh,,1961
"Pant, SumitranadanSumitranadan Pant",Literature & Education,Uttar Pradesh,,1961
"Roerich, SvetoslavSvetoslav Roerich",Arts,â€“,,1961
"Sahay, BhagwanBhagwan Sahay",Civil Service,Uttar Pradesh,,1961
"Varma, Bindeshwari PrasadBindeshwari Prasad Varma",Public Affairs,Bihar,,1961
"Venkataraman, KrishnaswamiKrishnaswami Venkataraman",Trade & Industry,Maharashtra,,1961
"Wadia, Ardeshir RuttonjiArdeshir Ruttonji Wadia",Literature & Education,Maharashtra,,1961
Recipient,Field,State,,
"Ayyar, Ramaswamy DuraiswamyRamaswamy Duraiswamy Ayyar",Medicine,Delhi,,1962
"Chatterjee, Gyanesh ChandraGyanesh Chandra Chatterjee",Literature & Education,Delhi,,1962
"Dandekar, Ramchandra NarayanRamchandra Narayan Dandekar",Literature & Education,Maharashtra,,1962
"Dhanda, Prem ChandraPrem Chandra Dhanda",Medicine,Punjab,,1962
"Fyzee, Asaf Ali AsgharAsaf Ali Asghar Fyzee",Literature & Education,Jammu & Kashmir,,1962
"Khan, Bade Ghulam AliBade Ghulam Ali Khan",Arts,Maharashtra,,1962
"Khan, Jafar AliJafar Ali Khan",Literature & Education,Uttar Pradesh,,1962
"Kothari, Daulat SinghDaulat Singh Kothari",Civil Service,Delhi,,1962
"Lam, Mithan JamshedMithan Jamshed Lam",Public Affairs,Maharashtra,,1962
"Maitra, Sudhansu SobhanSudhansu Sobhan Maitra",Medicine,West Bengal,,1962
"Mitra, Sisir KumarSisir Kumar Mitra",Literature & Education,West Bengal,,1962
"Modak, TarabaiTarabai Modak",Social Work,Maharashtra,,1962
"Mukerjee, Radha KamalRadha Kamal Mukerjee",Science & Engineering,Uttar Pradesh,,1962
"Mukerjee, Sudhindra NathSudhindra Nath Mukerjee",Public Affairs,West Bengal,,1962
"Fatehpuri, NiazNiaz Fatehpuri",Literature & Education,Uttar Pradesh,,1962
"Patel, Jal RatanjiJal Ratanji Patel",Medicine,Maharashtra,,1962
"Phadke, Narayan SitaramNarayan Sitaram Phadke",Literature & Education,Maharashtra,,1962
"Raghavan, VenkataramaVenkatarama Raghavan",Literature & Education,Tamil Nadu,,1962
"Ram, DukhanDukhan Ram",Medicine,Bihar,,1962
"Ramachandran, T. S. SoundramT. S. Soundram Ramachandran",Social Work,Tamil Nadu,,1962
"Rao, Mahankali SeetharamaMahankali Seetharama Rao",Medicine,Andhra Pradesh,,1962
"Saran, RaghunathRaghunath Saran",Medicine,Bihar,,1962
