Name,Field,State,Country,Year
Aamir Khan,Art,Maharashtra,India,2010
Akbar Padamsee,Art,Maharashtra,India,2010
Allah Rakha Rahman,Art,Tamil Nadu,India,2010
Chhannulal Mishra,Art,Uttar Pradesh,India,2010
Ilaiyaraaja,Art,Tamil Nadu,India,2010
Kumudini Lakhia,Art,Gujarat,India,2010
Kuzhur Narayana Marar,Art,Kerala,India,2010
Madhusudan Amilal Dhaky,Art,Gujarat,India,2010
Mallika Sarabhai,Art,Gujarat,India,2010
Nookala Chinna Satyanarayana,Art,Andhra Pradesh,India,2010
Puttaraj Gavai,Art,Karnataka,India,2010
Ram Kumar,Art,Delhi,India,2010
Shrinivas Vinayak Khale,Art,Maharashtra,India,2010
Sultan Khan,Art,Maharashtra,India,2010
B. K. Chaturvedi,Civil Service,Delhi,India,2010
Moosa Raza,Civil Service,Delhi,India,2010
Dr. P. R. Dubhashi,Civil Service,Maharashtra,India,2010
Fareed Zakaria,Journalism,,United States*,2010
Anil Bordia,Literature and Education,Rajasthan,India,2010
Bipan Chandra,Literature and Education,Delhi,India,2010
G. P. Chopra,Literature and Education,Delhi,India,2010
Mohammad Amin,Literature and Education,Delhi,India,2010
Satya Vrat Shastri,Literature and Education,Delhi,India,2010
Tan Chung,Literature and Education,,United States*,2010
Belle Monappa Hegde,Medicine,Karnataka,India,2010
E. T. Narayanan Mooss,Medicine,Kerala,India,2010
Noshir M. Shroff,Medicine,Delhi,India,2010
Panniyampilly Krishna Warrier,Medicine,Kerala,India,2010
Ramakant Madanmohan Panda,Medicine,Maharashtra,India,2010
Satya Paul Agarwal,Medicine,Delhi,India,2010
Abhijit Sen,Public Affairs,Delhi,India,2010
Sailesh Kumar Bandopadhyay,Public Affairs,West Bengal,India,2010
Sant Singh Chatwal,Public Affairs,,United States*,2010
Arogyaswami Joseph Paulraj,Science and Engineering,,United States*,2010
Bikash Chandra Sinha,Science and Engineering,West Bengal,India,2010
Jagdish Chandra Kapur,Science and Engineering,Delhi,India,2010
Balagangadharanatha Swamiji,Social Work,Karnataka,India,2010
Balasaheb Vikhe Patil,Social Work,Maharashtra,India,2010
C. P. Krishnan Nair,Trade and Industry,Maharashtra,India,2010
Kushal Pal Singh,Trade and Industry,Delhi,India,2010
Manvinder Singh Banga,Trade and Industry,,United Kingdom*,2010
Narayanan Vaghul,Trade and Industry,Tamil Nadu,India,2010
S. P. Oswal,Trade and Industry,Punjab,India,2010
Name,Field,State,Country,
Gaurav Arora,Art-Theatre,Maharashtra,India,2011
Mohammed Zahur Khayyam Hashmi,Art-Cinema-Music,Maharashtra,India,2011
Shashi Kapoor,Art-Cinema,Maharashtra,India,2011
Krishen Khanna,Art-Painting,Haryana,India,2011
Madavur Vasudevan Nair,Art-Dance-Kathakali,Kerala,India,2011
Waheeda Rehman,Art-Cinema,Maharashtra,India,2011
Rudrapatna Krishna Shastry Srikantan,Art-Music-Vocal,Karnataka,India,2011
Arpita Singh,Art-Painting,Delhi,India,2011
Sripathi Panditharadhyula Balasubrahmanyam,"Art-Playback Singing, Music Direction & acting",Andhra Pradesh,India,2011
C. V. Chandrasekhar,Art-Classical Dance-Bharatanatyam,Tamil Nadu,India,2011
Dwijen Mukherjee,Art,West Bengal,India,2011
Rajashree Birla,Social work,Maharashtra,India,2011
Shobhana Ranade,Social work,Maharashtra,India,2011
Suryanarayanan Ramachandran,Science and Engineering,Tamil Nadu,India,2011
S. (Kris) Gopalakrishnan,Trade and Industry,Karnataka,India,2011
Yogesh Chander Deveshwar,Trade and Industry,West Bengal,India,2011
Chanda Kochhar,Trade and Industry,Maharashtra,India,2011
K. Anji Reddy,Trade and Industry-Pharmacy,Andhra Pradesh,India,2011
