Name,Field,State,Country,Year
Gulam Mohammed Mir,Public Service,Jammu and Kashmir,India,2010
Rekha,Art,Maharashtra,India,2010
Arjun Prajapati,Art,Rajasthan,UK,2010
Arundhati Nag,Art,Karnataka,India,2010
Carmel Berkson,Art,Maharashtra,India,2010
F. Wasifuddin Dagar,Art,Delhi,India,2010
Gul Bardhan,Art,Madhya Pradesh,India,2010
Haobam Ongbi Ngangbi Devi,Art,Manipur,India,2010
Hari Uppal,Art,Bihar,India,2010
K. Raghavan,Art,Kerala,India,2010
Mayadhar Raut,Art,Delhi,India,2010
Mukund Lath,Art,Rajasthan,India,2010
Nemai Ghosh,Art,West Bengal,India,2010
Raghunath Panigrahi,Art,Orissa,India,2010
Rajkumar Achouba Singh,Art,Manipur,India,2010
Ram Dayal Munda,Art,Jharkhand,India,2010
Resul Pokutty,Art,Kerala,India,2010
Saif Ali Khan,Art,Maharashtra,India,2010
Shobha Raju,Art,Andhra Pradesh,India,2010
Sumitra Guha,Art,Delhi,India,2010
Ulhas Kashalkar,Art,West Bengal,India,2010
D.R. Karthikeyan,Civil Service,Delhi,India,2010
Ranjit Bhargava,Environment Protection,Uttarakhand,India,2010
Arun Sarma,Literature and Education,Assam,India,2010
Arvind Kumar,Literature and Education,Maharashtra,India,2010
Bertha Gyndykes Dkhar,Literature and Education,Meghalaya,India,2010
Govind Chandra Pande,Literature and Education,Madhya Pradesh,India,2010
Hamidi Kashmiri,Literature and Education,Jammu and Kashmir,India,2010
Hermann Kulke,Literature and Education,,Germany*,2010
Janaki Ballav Shastri,Literature and Education,Bihar,India,2010
Jitendra Udhampuri,Literature and Education,Jammu and Kashmir,India,2010
Lal Bahadur Singh Chauhan,Literature and Education,Uttar Pradesh,India,2010
Lalzuia Colney,Literature and Education,Mizoram,India,2010
Maria Aurora Couto,Literature and Education,Goa,India,2010
Rajalakshmi Parthasarathy,Literature and Education,Tamil Nadu,India,2010
Ramaranjan Mukherji,Literature and Education,West Bengal,India,2010
Ranganathan Parthasarathy,Literature and Education,Tamil Nadu,India,2010
Romuald D'Souza,Literature and Education,Goa,India,2010
Sadiq-ur-Rahman Kidwai,Literature and Education,Delhi,India,2010
Sheldon Pollock,Literature and Education,,United States*,2010
Surendra Dubey,Literature and Education,Chhattisgarh,India,2010
Anil Kumar Bhalla,Medicine,Delhi,India,2010
Arvinder Singh Soin,Medicine,Delhi,India,2010
B. Ramana Rao,Medicine,Karnataka,India,2010
Jalakantapuram Ramaswamy Krishnamoorthy,Medicine,Tamil Nadu,India,2010
K. K. Aggarwal (cardiologist),Medicine,Delhi,India,2010
Kodaganur S. Gopinath,Medicine,Karnataka,India,2010
Laxmi Chand Gupta,Medicine,Delhi,India,2010
Philip Augustine,Medicine,Kerala,India,2010
Rabindra Narain Singh,Medicine,Bihar,India,2010
Vikas Mahatme,Medicine,Maharashtra,India,2010
Rafael Iruzubieta Fernandez,Public Affairs,,Spain*,2010
M.R. Satyanarayana Rao,Science and Engineering,Karnataka,India,2010
Palpu Pushpangadan,Science and Engineering,Kerala,India,2010
Ponisseril Somasundaran,Science and Engineering,,United States*,2010
Pucadyil Ittoop John,Science and Engineering,Gujarat,India,2010
Vijay Prasad Dimri,Science and Engineering,Andhra Pradesh,India,2010
Vijayalakshmi Ravindranath,Science and Engineering,Karnataka,India,2010
Anu Aga,Social Work,Maharashtra,India,2010
Ayekpam Tomba Meetei,Social Work,Manipur,India,2010
Deep Joshi,Social Work,Delhi,India,2010
J. R. Gangaramani,Social Work,,United Arab Emirates*,2010
Kranti Shah,Social Work,Maharashtra,India,2010
Kurian John Melamparambil,Social Work,Kerala,India,2010
Baba Sewa Singh,Social Work,Punjab,India,2010
Sudha Kaul,Social Work,West Bengal,India,2010
Sudhir M. Parikh,Social Work,,United States*,2010
Ignace Tirkey,Sports,Orissa,India,2010
Kumar Ram Narain Karthikeyan,Sports,Tamil Nadu,India,2010
Ramakant Vithal Achrekar,Sports,Maharashtra,India,2010
Saina Nehwal,Sports,Andhra Pradesh,India,2010
Vijender Singh,Sports,Haryana,India,2010
Virender Sehwag,Sports,Delhi,India,2010
Alluri Venkata Satyanarayana Raju,Trade and Industry,Andhra Pradesh,India,2010
B. Ravi Pillai,Trade and Industry,Kerala,Bahrain*,2010
Deepak Puri,Trade and Industry,Delhi,India,2010
Irshad Mirza,Trade and Industry,Uttar Pradesh,India,2010
Kapil Mohan,Trade and Industry,Himachal Pradesh,India,2010
Karsanbhai Khodidas Patel,Trade and Industry,Gujarat,India,2010
T.N. Manoharan,Trade and Industry,Tamil Nadu,India,2010
Venu Srinivasan,Trade and Industry,Tamil Nadu,India,2010
Name,Field,State,Country,
Neelam Mansingh Chowdhry,Art-Theatre,Chandigarh,India,2011
Makar Dhwaja Darogha,Art-Chhau Dance,Jharkhand,India,2011
Shaji Neelakantan Karun,Art-Film Direction,Kerala,India,2011
Girish Kasaravalli,Art-Film making,Karnataka,India,2011
Tabassum Hashmi Khan,Art-Cinema,Maharashtra,India,2011
Jivya Soma Mase,Art-Warli Painting,Maharashtra,India,2011
M. K. Saroja,Art-Dance-Bharatnatyam,Tamil Nadu,India,2011
Jayaram Subramaniam,Art-Cinema,Kerala,India,2011
Ajoy Chakraborty,Art - Music-Indian Classical Vocal,West Bengal,India,2011
Mahasundari Devi,Art-Mithilia/Madhubani Painting,Bihar,India,2011
Gajam Govardhana,Art-Handloom Weaving,Andhra Pradesh,India,2011
Sunayana Hazarilal,Art-Dance-Kathak,Maharashtra,India,2011
S. R. Janakiraman,Art-Carnatic Vocal Music,Tamil Nadu,India,2011
Peruvanam Kuttan Marar,Art-Chenda Melam-Drum concert,Kerala,India,2011
Kalamandalam Kshemavathy,Art-Dance-Mohiniattam,Kerala,India,2011
Dadi Dorab Pudumjee,Art-Puppetry,Delhi,India,2011
Khangembam Mangi Singh,Art-Traditional Music of Manipur (Pena),Manipur,India,2011
Prahlad Singh Tipaniya,Art-Folk Music,Madhya Pradesh,India,2011
Usha Uthup,Art-Music,West Bengal,India,2011
Kajol,Art-Cinema,Maharashtra,India,2011
Irrfan Khan,Art-Cinema,Maharashtra,India,2011
Mamraj Agrawal,Social work,West Bengal,India,2011
Jockin Arputham,Social work,Maharashtra,India,2011
Nomita Chandy,Social work,Karnataka,India,2011
Sheela Patel,Social work,Maharashtra,India,2011
Anita Reddy,Social work,Karnataka,India,2011
Kanubhai Hasmukhbhai Tailor,Social work,Gujarat,India,2011
Anant Darshan Shankar,Public Affairs,Karnataka,India,2011
M. Annamalai,Science and Engineering,Karnataka,India,2011
Mahesh Haribhai Mehta,Science and Engineering-Agricultural Science,Gujarat,India,2011
Coimbatore Narayana Rao Raghavendran,Science and Engineering,Tamil Nadu,India,2011
Suman Sahai,Science and Engineering,Delhi,India,2011
E. A. Siddiq,Science and Engineering-Agricultural Science,Andhra Pradesh,India,2011
Gopalan Nair Shankar,Science and Engineering-Architecture,Kerala,India,2011
Mecca Rafeeque Ahmed,Trade and Industry,Tamil Nadu,India,2011
Kailasam Raghavendra Rao,Trade and Industry,Tamil Nadu,India,2011
Narayan Singh Bhati,Civil Services,Andhra Pradesh,India,2011
P. K. Sen,Civil Services,Bihar,India,2011
Shital Mahajan,Sports-Adventure Sports-Para Jumping,Maharashtra,India,2011
Nameirakpam Kunjarani Devi,Sports-Weightlifting,Manipur,India,2011
Sushil Kumar,Sports-Wrestling,Delhi,India,2011
Vangipurapu Venkata Sai Laxman,Sports-Cricket,Andhra Pradesh,India,2011
Gagan Narang,Sports-Shooting,Andhra Pradesh,India,2011
Krishna Poonia,Sports-Discus Throw,Rajasthan,India,2011
